countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
YEM,1520,Yemen Humanitarian Needs and Response Plan 2026,HYEM26,2026-01-01,2026-12-31,2026,1520,Yemen Humanitarian Needs and Response Plan 2026,2470000000,,
YEM,1520,Yemen Humanitarian Needs and Response Plan 2026,HYEM26,2026-01-01,2026-12-31,2026,,Not specified,,157239004,
YEM,1520,Yemen Humanitarian Needs and Response Plan 2026,HYEM26,2026-01-01,2026-12-31,2026,,Multiple clusters/sectors (shared),,0,
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7869,Camp Coordination & Camp Management,55100000,3082633,6
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7881,Coordination,15000000,11510549,77
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7870,Education,74902939,30819136,41
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7882,Emergency Telecommunications,2198081,,
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7871,Food Security and Agriculture,1104275500,242873793,22
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7872,Health,261972778,124227956,47
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7880,Logistics,33100000,16724014,51
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7873,Multipurpose Cash,111674160,21665649,19
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7874,Nutrition,237891997,30056843,13
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7875,Protection,170864398,50397318,29
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7877,Rapid Response Mechanism (RRM),16631755,126233,1
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7876,Refugees and Migrants Multisector,48255505,34501521,71
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7878,Shelter and NFI,170000000,20963915,12
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,7879,"WASH, Sanitation and Hygiene",176905809,36481809,21
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,,Not specified,,42493029,
YEM,1262,Yemen Humanitarian Needs and Response Plan 2025,HYEM25,2025-01-01,2025-12-31,2025,,Multiple clusters/sectors (shared),,39517654,
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7509,Camp Coordination & Camp Management,47186378,5954554,13
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7513,Coordination,20100000,25598019,127
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7507,Education,104533506,28369681,27
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7514,Emergency Telecommunications,2700000,,
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7502,Food Security and Agriculture,1363741000,600781742,44
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7505,Health,249610000,128830921,52
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7510,Logistics,41300000,24297433,59
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7515,Multi-Purpose Cash Assistance,63500000,89947335,142
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7504,Nutrition,193654978,183425581,95
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7503,Protection,168100000,123694661,74
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7511,Rapid Response Mechanism (RRM),17945385,6640085,37
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7512,Refugees and Migrants Multisector,78309627,44213640,56
YEM,1193,Yemen Humanitarian Response Plan 2024,HYEM24,2024-01-01,2024-12-31,2024,7508,Shelter and NFI,160300000,44724285,28
