date,price_sum
2009-03-15,1275.00
2009-04-15,1280.00
2009-05-15,1215.00
2009-06-15,1215.00
2009-07-15,1180.00
2009-08-15,1165.00
2009-09-15,1185.00
2009-10-15,1545.00
2009-11-15,1590.00
2009-12-15,1460.00
2010-01-15,1080.00
2010-02-15,1175.00
2010-03-15,1595.00
2010-04-15,1393.00
2010-05-15,1525.00
2010-06-15,3835.00
2010-07-15,1510.00
2010-08-15,1770.00
2010-09-15,1480.00
2010-10-15,1580.00
2010-11-15,1625.00
2010-12-15,1500.00
2011-01-15,980.00
2011-02-15,975.00
2011-03-15,1225.00
2011-04-15,1610.00
2011-05-15,1700.00
2011-06-15,1660.00
2011-07-15,2005.00
2011-08-15,2120.00
2011-09-15,2080.00
2011-10-15,2180.00
2011-11-15,2100.00
2011-12-15,1930.00
2012-01-15,1718.00
2012-02-15,1496.00
2012-03-15,1083.00
2012-04-15,16806.66
2012-05-15,18285.00
2012-06-15,17928.98
2012-07-15,18201.00
2012-08-15,17710.00
2012-09-15,18827.00
2012-10-15,18902.00
2012-11-15,18045.00
2012-12-15,17556.00
2013-01-15,18045.00
2013-02-15,13508.00
2013-03-15,16768.00
2013-04-15,16121.00
2013-05-15,16175.00
2013-06-15,19154.00
2013-08-15,19330.00
2013-09-15,20063.00
2013-10-15,21470.00
2013-12-15,20985.00
2014-01-15,20788.00
2014-02-15,19090.00
2014-03-15,18882.00
2014-05-15,21778.00
2014-06-15,22804.00
2014-07-15,23550.00
2014-08-15,23831.00
2014-09-15,23238.00
2014-10-15,21959.00
2014-11-15,22299.00
2014-12-15,21602.00
2015-01-15,20603.00
2015-02-15,25195.76
2015-03-15,27199.00
2015-04-15,33515.00
2015-05-15,27521.00
2015-06-15,30233.00
2015-07-15,42380.10
2015-08-15,39873.67
2015-09-15,44608.00
2015-10-15,46316.00
2015-11-15,67116.63
2015-12-15,58179.00
2016-01-15,56272.75
2016-02-15,54224.50
2016-03-15,35754.00
2016-04-15,35740.99
2016-05-15,44768.75
2016-06-15,1148631.83
2016-07-15,1263623.34
2016-08-15,1265991.25
2016-09-15,1346468.00
2016-10-15,1265044.50
2016-11-15,1257776.75
2016-12-15,1225752.25
2017-01-15,1268032.75
2017-02-15,1290096.25
2017-03-15,1250316.00
2017-04-15,1252201.00
2017-05-15,1292520.50
2017-06-15,1368550.75
2017-07-15,1378629.50
2017-08-15,1403183.00
2017-09-15,1450207.00
2017-10-15,1373653.75
2017-11-15,1388083.75
2017-12-15,1396287.00
2018-01-15,1351930.50
2018-02-15,1353162.75
2018-03-15,1405702.25
2018-04-15,1389462.63
2018-05-15,1414738.00
2018-06-15,1499497.86
2018-07-15,1537146.95
2018-08-15,1753542.82
2018-09-15,1739881.73
2018-10-15,1817970.46
2018-11-15,1720096.13
2018-12-15,1665458.94
2019-01-15,1637543.06
2019-02-15,1695505.02
2019-03-15,1756170.06
2019-04-15,1735714.49
2019-05-15,1803432.60
2019-06-15,1789370.21
2019-07-15,1907719.13
2019-08-15,2190157.21
2019-09-15,2069335.19
2019-10-15,2127969.31
2019-11-15,2073245.33
2019-12-15,2042789.44
2020-01-15,2007356.51
2020-02-15,2182075.84
2020-03-15,2191339.94
2020-04-15,2143335.15
2020-05-15,2104765.97
2020-06-15,2103717.67
2020-07-15,2254645.60
2020-08-15,2272259.52
2020-09-15,2278712.10
2020-10-15,2518228.91
2020-11-15,2504675.37
2020-12-15,2519463.95
